read_0 status=OK qual=AA diff=<0, -1>  | 11622835 11623838 | pad: 11, 10 | 
read_1 status=OK qual=AA diff=<0, 0>  | 16625361 16626365 | pad: 11, 11 | 
read_2 status=OK qual=AA diff=<0, -1>  | 19323100 19324094 | pad: 11, 10 | 
read_3 status=OK qual=AB diff=<11, 0>  | 15839746 15840753 | pad: None, 10 | 
read_4 status=OK qual=AA diff=<0, 0>  | 9068976 9069978 | pad: 11, 203 | REALIGNED
read_5 status=OK qual=AA diff=<0, -9>  | 13383724 13384738 | pad: 11, None | 
read_6 status=OK qual=AA diff=<1, -1>  | 14433570 14434564 | pad: 11, 10 | 
read_7 status=OK qual=AB diff=<0, -11>  | 3735125 3736138 | pad: 10, None | 
read_8 status=OK qual=AB diff=<0, -11>  | 12037619 12038630 | pad: 13, None | 
read_9 status=OK qual=AA diff=<0, -1>  | 17506256 17507263 | pad: 11, 10 | 
read_10 status=OK qual=AA diff=<0, -3>  | 18249569 18250572 | pad: 11, 8 | 
read_11 status=OK qual=AA diff=<0, -1>  | 8243191 8244191 | pad: 11, 10 | 
read_12 status=OK qual=AB diff=<12, -5>  | 9798611 9799626 | pad: None, 6 | 
read_13 status=OK qual=AA diff=<0, -1>  | 8251977 8252980 | pad: 9, 10 | 
read_14 status=OK qual=AA diff=<0, -1>  | 4057318 4058321 | pad: 11, 10 | 
read_15 status=OK qual=AB diff=<11, 0>  | 4670989 4671996 | pad: None, 11 | 
read_16 status=OK qual=AB diff=<0, -10>  | 16603238 16604250 | pad: 11, None | 
read_17 status=OK qual=AA diff=<0, -1>  | 5016961 5017954 | pad: 11, 10 | 
read_18 status=OK qual=AA diff=<0, -1>  | 8193242 8194239 | pad: 11, 10 | 
read_19 status=OK qual=AB diff=<0, -11>  | 3615592 3616606 | pad: 11, None | 
read_20 status=OK qual=AB diff=<0, -13>  | 19464915 19465928 | pad: 11, None | 
read_21 status=OK qual=AB diff=<0, -11>  | 13676263 13677275 | pad: 11, None | 
read_22 status=OK qual=AB diff=<9, -2>  | 8467992 8469007 | pad: None, 10 | 
read_23 status=OK qual=AA diff=<0, -1>  | 9159610 9160607 | pad: 11, 10 | 
read_24 status=OK qual=AA diff=<0, -1>  | 16216041 16217038 | pad: 11, 10 | 
read_25 status=OK qual=AA diff=<0, -1>  | 397623 398625 | pad: 11, 10 | 
read_26 status=OK qual=AB diff=<1, -11>  | 2534074 2535094 | pad: 11, None | 
read_27 status=OK qual=AA diff=<0, -1>  | 18482769 18483770 | pad: 11, 10 | 
read_28 status=OK qual=AB diff=<10, -1>  | 4549545 4550557 | pad: None, 10 | 
read_29 status=OK qual=AB diff=<0, -12>  | 16064609 16065619 | pad: 11, None | 
read_30 status=OK qual=AA diff=<0, -1>  | 3056158 3057157 | pad: 10, 10 | 
read_31 status=OK qual=AA diff=<0, -1>  | 14025623 14026620 | pad: 11, 10 | 
read_32 status=OK qual=AA diff=<0, -1>  | 12282874 12283875 | pad: 11, 10 | 
read_33 status=OK qual=AB diff=<11, -1>  | 923673 924685 | pad: None, 10 | 
read_34 status=OK qual=AA diff=<0, -1>  | 2787079 2788076 | pad: 11, 10 | 
read_35 status=OK qual=AA diff=<0, -1>  | 291474 292477 | pad: 11, 10 | 
read_36 status=OK qual=AA diff=<0, 0>  | 2704595 2705593 | pad: 11, 12 | REALIGNED
read_37 status=OK qual=AA diff=<0, -1>  | 16220927 16221933 | pad: 11, 10 | 
read_38 status=OK qual=AA diff=<0, 0>  | 14961010 14962009 | pad: 11, 11 | 
read_39 status=OK qual=AB diff=<0, -10>  | 19411388 19412402 | pad: 11, None | 
read_40 status=OK qual=AA diff=<0, -1>  | 4772835 4773840 | pad: 11, 10 | 
read_41 status=OK qual=AB diff=<11, -2>  | 1480270 1481286 | pad: None, 10 | 
read_42 status=OK qual=AA diff=<0, 0>  | 19436263 19437269 | pad: 11, 10 | 
