read_0 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_1 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, 1>
read_2 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<1, 0>
read_3 | status=OK | qual=AB | max_diff=10 sum_diff=12 | diff=<10, -2>
read_4 | status=OK | qual=AA | max_diff=6 sum_diff=6 | diff=<-6, 0>
read_5 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_6 | status=OK | qual=AA | max_diff=1 sum_diff=2 | diff=<-1, 1>
read_7 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_8 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_9 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_10 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<2, 0>
read_11 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, 2>
read_12 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_13 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_14 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_15 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_16 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<2, 0>
read_17 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<-1, 0>
read_18 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<-4, 1>
read_19 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_20 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_21 | status=OK | qual=AA | max_diff=5 sum_diff=5 | diff=<0, -5>
read_22 | status=OK | qual=AA | max_diff=3 sum_diff=3 | diff=<0, 3>
read_23 | status=OK | qual=AA | max_diff=4 sum_diff=5 | diff=<-4, -1>
read_24 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_25 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_26 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_27 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_28 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_29 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_30 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_31 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_32 | status=OK | qual=AA | max_diff=4 sum_diff=4 | diff=<0, -4>
read_33 | status=OK | qual=AA | max_diff=6 sum_diff=8 | diff=<-6, -2>
read_34 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_35 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, -1>
read_36 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_37 | status=OK | qual=AA | max_diff=2 sum_diff=4 | diff=<-2, -2>
read_38 | status=OK | qual=AA | max_diff=2 sum_diff=2 | diff=<0, -2>
read_39 | status=OK | qual=AA | max_diff=2 sum_diff=3 | diff=<-1, -2>
read_40 | status=OK | qual=AA | max_diff=0 sum_diff=0 | diff=<0, 0>
read_41 | status=OK | qual=AA | max_diff=1 sum_diff=1 | diff=<0, 1>
read_42 | status=OK | qual=AA | max_diff=6 sum_diff=9 | diff=<6, -3>
